"from","to","weight"
49,54,0.605136565626884
50,54,0.682060118733439
14,55,0.649357084708881
17,55,0.636367419584635
23,55,0.517966876459793
34,55,0.633208239961279
38,55,0.469538914923979
20,56,0.612865492239673
24,56,0.595197631872692
25,56,0.578406408002835
38,56,0.659273210014317
49,56,0.458174672051856
54,56,0.458020908822853
55,56,0.471786517607738
7,57,0.598351589895475
9,57,0.453684218580384
20,57,0.673591343814714
24,57,0.630641304453471
25,57,0.550685832978295
26,57,0.553084338822806
38,57,0.577050231539825
49,57,0.465327947919428
50,57,0.489126389664099
53,57,0.537195294298274
54,57,0.583580324604057
56,57,0.597353778201589
14,58,0.892616131241251
17,58,0.758312100483862
23,58,0.629631241896035
34,58,0.830531356062357
55,58,0.663479034515926
4,59,0.679725289729437
13,59,0.608900515312016
16,59,0.790687119983777
33,59,0.580070180485293
48,59,0.577267125718593
20,60,0.618332341484237
24,60,0.563780762745976
25,60,0.581361382330575
38,60,0.676836224819821
49,60,0.516985603513775
50,60,0.462137092811302
54,60,0.454648716263598
56,60,0.792563115673055
57,60,0.549716979605299
12,61,0.530084082659562
14,61,0.529632772290607
17,61,0.518650268446175
23,61,0.541542045817181
34,61,0.546330438603488
41,61,0.548521373269512
51,61,0.531299145205402
58,61,0.528885325826494
3,62,0.577463684319952
8,62,0.458691469620086
11,62,0.551108828084897
21,62,0.760909175878058
27,62,0.57955573154618
29,62,0.473673691186763
30,62,0.467723867162716
47,62,0.691325841904345
20,63,0.67634378011435
24,63,0.58528832068253
25,63,0.665955603865307
38,63,0.747464642974296
49,63,0.532397299209324
50,63,0.527259448457681
54,63,0.510584886959625
55,63,0.495176070232288
56,63,0.870312777407783
57,63,0.595119214473624
60,63,0.791100692157539
7,64,0.51308378152032
18,64,0.498257411743041
20,64,0.486047694110129
25,64,0.558294090519908
26,64,0.494296871555313
31,64,0.733478238915582
35,64,0.814525258273166
37,64,0.480084126186232
38,64,0.519730928864729
39,64,0.813705230087591
42,64,0.779267223093996
45,64,0.718139625319967
46,64,0.556595238024249
49,64,0.676160102805081
50,64,0.58913809222439
54,64,0.592938286406587
1,65,0.493183884984839
14,65,0.477289971010246
46,65,0.55547228467682
18,66,0.507305986106194
44,66,0.456597680876829
46,66,0.541621429508409
52,66,0.504702751102024
65,66,0.496759241642524
14,67,0.845278799010942
17,67,0.834011194071835
23,67,0.588784384722336
34,67,0.803964196057803
55,67,0.67194505251139
58,67,0.843767856496906
61,67,0.499810070335178
2,68,0.620358276422253
3,68,0.483178141343096
22,68,0.651162539456853
23,68,0.471106505657692
27,68,0.555667713045545
12,69,0.658948001688368
51,69,0.666642339577812
61,69,0.515460271970762
11,70,0.646392623535859
5,71,0.461135803833762
14,71,0.459351695861655
17,71,0.466253893410154
18,71,0.554232876602086
31,71,0.452420201355682
